projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd;methodNameHash;methodNameFullHash;methodCode;methodCodeHash;FullHash
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task0\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;27;1;Unknown Test;sampleCases;9-24;9-24;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;@TestvoidsampleCases(){Solutions=newSolution()|List<Boolean>correct=Arrays.asList(s.hasCloseElements(newArrayList<>(Arrays.asList(11.0,2.0,3.9,4.0,5.0,2.2)),0.3),!s.hasCloseElements(newArrayList<>(Arrays.asList(1.0,2.0,3.9,4.0,5.0,2.2)),0.05),s.hasCloseElements(newArrayList<>(Arrays.asList(1.0,2.0,5.9,4.0,5.0)),0.95),!s.hasCloseElements(newArrayList<>(Arrays.asList(1.0,2.0,5.9,4.0,5.0)),0.8),s.hasCloseElements(newArrayList<>(Arrays.asList(1.0,2.0,3.0,4.0,5.0,2.0)),0.1),s.hasCloseElements(newArrayList<>(Arrays.asList(1.1,2.2,3.1,4.1,5.1)),1.0),!s.hasCloseElements(newArrayList<>(Arrays.asList(1.1,2.2,3.1,4.1,5.1)),0.5))|if(correct.contains(false)){thrownewAssertionError()|}};505366b84969aeb0d5cd694d9d770870;80667adda71e59c1babf38e712de0eb1
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task0\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;27;1;Conditional Test Logic;sampleCases;21-23;21-23;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;if(correct.contains(false)){thrownewAssertionError()|};2a31cd0f1597a5c837aa604293573ce2;ca916ebbcef280cd4921073daed5951b
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task1\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;30;1;Unknown Test;sampleCases;9-27;9-27;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;@TestvoidsampleCases(){Solutions=newSolution()|List<Boolean>correct=Arrays.asList(s.separateParenGroups("(()())((()))()((())()())").equals(Arrays.asList("(()())","((()))","()","((())()())")),s.separateParenGroups("()(())((()))(((())))").equals(Arrays.asList("()","(())","((()))","(((())))")),s.separateParenGroups("(()(())((())))").equals(Arrays.asList("(()(())((())))")),s.separateParenGroups("()(())(()())").equals(Arrays.asList("()","(())","(()())")))|if(correct.contains(false)){thrownewAssertionError()|}};0d920ecc16465f49314873763650b677;67d35e99ec7927a1f73c77fa9272830d
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task1\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;30;1;Conditional Test Logic;sampleCases;24-26;24-26;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;if(correct.contains(false)){thrownewAssertionError()|};2a31cd0f1597a5c837aa604293573ce2;ca916ebbcef280cd4921073daed5951b
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task109\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;25;1;Unknown Test;sampleCases;9-22;9-22;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;@TestvoidsampleCases(){Solutions=newSolution()|List<Boolean>correct=Arrays.asList(s.moveOneBall(newArrayList<>(Arrays.asList(3,4,5,1,2)))==true,s.moveOneBall(newArrayList<>(Arrays.asList(3,5,10,1,2)))==true,s.moveOneBall(newArrayList<>(Arrays.asList(4,3,1,2)))==false,s.moveOneBall(newArrayList<>(Arrays.asList(3,5,4,1,2)))==false,s.moveOneBall(newArrayList<>(Arrays.asList()))==true)|if(correct.contains(false)){thrownewAssertionError()|}};ae5e78341813b8cab5048c71435c0438;52230ac4c489eed2dde6d00219d192e9
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task109\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;25;1;Conditional Test Logic;sampleCases;19-21;19-21;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;if(correct.contains(false)){thrownewAssertionError()|};2a31cd0f1597a5c837aa604293573ce2;ca916ebbcef280cd4921073daed5951b
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task110\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;27;1;Unknown Test;sampleCases;9-24;9-24;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;@TestvoidsampleCases(){Solutions=newSolution()|List<Boolean>correct=Arrays.asList(Objects.equals(s.exchange(Arrays.asList(1,2,3,4),Arrays.asList(1,2,3,4)),"YES"),Objects.equals(s.exchange(Arrays.asList(1,2,3,4),Arrays.asList(1,5,3,4)),"NO"),Objects.equals(s.exchange(Arrays.asList(1,2,3,4),Arrays.asList(2,1,4,3)),"YES"),Objects.equals(s.exchange(Arrays.asList(5,7,3),Arrays.asList(2,6,4)),"YES"),Objects.equals(s.exchange(Arrays.asList(5,7,3),Arrays.asList(2,6,3)),"NO"),Objects.equals(s.exchange(Arrays.asList(3,2,6,1,8,9),Arrays.asList(3,5,5,1,1,1)),"NO"),Objects.equals(s.exchange(Arrays.asList(100,200),Arrays.asList(200,200)),"YES"))|if(correct.contains(false)){thrownewAssertionError()|}};ac810f1ebd940cd3cf6b7aa0e5db95b5;e829aab60e34eafc838ef5b4455c28a2
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task110\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;27;1;Conditional Test Logic;sampleCases;21-23;21-23;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;if(correct.contains(false)){thrownewAssertionError()|};2a31cd0f1597a5c837aa604293573ce2;ca916ebbcef280cd4921073daed5951b
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task124\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;36;1;Unknown Test;sampleCases;9-33;9-33;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;@TestvoidsampleCases(){Solutions=newSolution()|List<Boolean>correct=Arrays.asList(s.validDate("03-11-2000")==true,s.validDate("15-01-2012")==false,s.validDate("04-0-2040")==false,s.validDate("06-04-2020")==true,s.validDate("01-01-2007")==true,s.validDate("03-32-2011")==false,s.validDate("")==false,s.validDate("04-31-3000")==false,s.validDate("06-06-2005")==true,s.validDate("21-31-2000")==false,s.validDate("04-12-2003")==true,s.validDate("04122003")==false,s.validDate("20030412")==false,s.validDate("2003-04")==false,s.validDate("2003-04-12")==false,s.validDate("04-2003")==false)|if(correct.contains(false)){thrownewAssertionError()|}};8fc5bba574a6d74ed0ce5f0602ab6eb3;7c79401d1594fcdad58ac86183c7e91f
blg-475-project;SolutionTest;C:\Users\posti\.jnose_projects\blg-475-project\src\test\java\gpt54\task124\SolutionTest.java;C:\Users\posti\.jnose_projects\blg-475-project\src\main\java\gpt54\task8\Solution.java;JUnit5;36;1;Conditional Test Logic;sampleCases;30-32;30-32;7e4fff8d8747d0f0d22203fc2977af69;8f92b84853c224f8cb0dd8ee18874dce;if(correct.contains(false)){thrownewAssertionError()|};2a31cd0f1597a5c837aa604293573ce2;ca916ebbcef280cd4921073daed5951b
